RESP_ID,GENDER,AGE,EDUCATION,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25
RESP-ABCD-0001,Male,32,University,1,7,5,5,1,7,1,1,1,9,3,5,7,7,9,5,5,5,1,7,9,3,7,9,3
RESP-ABCD-0002,Female,29,University,9,9,3,7,9,7,1,7,9,9,7,1,7,3,3,3,3,7,1,3,7,7,3,7,9
RESP-ABCD-0003,Female,32,University,5,7,7,9,7,7,5,7,5,1,5,7,3,7,1,1,5,9,1,3,1,5,5,1,9
RESP-ABCD-0004,Female,20,University,5,5,1,3,7,9,5,7,5,1,1,1,1,9,7,9,1,9,3,3,9,1,7,1,1
RESP-ABCD-0005,Male,30,Masters or above,1,5,7,3,3,9,9,3,1,7,7,5,5,3,9,9,7,9,3,7,3,7,7,1,3
RESP-ABCD-0006,Male,21,University,7,7,9,5,9,3,1,9,7,9,1,9,1,5,3,1,9,3,5,1,9,1,1,7,5
RESP-ABCD-0007,Male,42,University,7,1,5,5,5,1,9,3,7,3,3,5,7,5,9,1,5,5,1,1,7,3,5,1,1
RESP-ABCD-0008,Female,28,Unspecified,9,3,1,1,1,7,5,1,9,5,1,1,3,3,7,3,1,9,7,3,3,1,3,5,1
RESP-ABCD-0009,Female,26,University,1,1,1,9,3,3,5,3,1,1,3,3,9,1,7,5,1,9,7,9,7,5,7,9,9
RESP-ABCD-0010,Female,28,Masters or above,5,1,9,7,7,1,1,9,3,5,5,9,3,3,5,9,9,3,1,1,3,5,7,5,1
RESP-ABCD-0011,Unspecified,38,University,7,1,9,3,5,5,7,5,7,5,3,9,7,9,3,3,9,3,1,7,5,3,1,1,1
RESP-ABCD-0012,Female,34,University,1,9,3,1,5,9,3,5,1,7,3,1,3,1,7,5,3,9,1,5,1,3,9,5,1
RESP-ABCD-0013,Female,28,University,7,5,5,1,1,1,5,3,7,9,9,5,3,5,5,3,5,1,3,5,1,9,3,1,9
RESP-ABCD-0014,Male,20,University,7,1,5,3,7,5,5,5,5,1,7,5,7,3,5,9,5,9,3,5,7,7,5,7,5
RESP-ABCD-0015,Male,32,Unspecified,5,5,7,7,9,1,7,9,5,5,7,7,3,7,9,1,7,9,3,9,1,7,7,5,5
RESP-ABCD-0016,Male,38,University,3,7,3,1,5,9,7,5,3,1,5,3,5,7,9,1,3,3,9,3,7,5,7,7,1
RESP-ABCD-0017,Male,27,University,9,3,3,1,1,9,9,3,9,3,5,3,5,9,5,5,3,3,7,7,7,7,3,7,9
RESP-ABCD-0018,Female,29,University,9,7,3,9,9,3,9,9,9,7,7,3,3,7,9,7,3,9,7,9,7,7,9,3,5
RESP-ABCD-0019,Male,29,University,5,7,3,7,7,7,3,7,5,3,9,3,9,3,7,5,3,9,5,7,1,9,7,1,5
RESP-ABCD-0020,Male,21,University,7,9,5,1,5,1,3,5,5,1,7,5,7,3,1,7,5,9,3,7,7,7,3,9,5
