PERSON_ID,AGE,SENIORITY,ROLE,EMAIL_INTENSITY,DM_INTENSITY
1,59,SENIOR,SALES,164,616
2,46,SENIOR,MARKETING,150,603
3,50,MANAGEMENT,MARKETING,131,524
4,47,MANAGEMENT,MARKETING,148,581
5,45,SENIOR,MARKETING,148,588
6,65,SENIOR,ENGINEERING,116,1469
7,29,JUNIOR,SALES,137,613
8,26,JUNIOR,SALES,144,569
9,37,MID,MARKETING,140,596
10,36,MID,ENGINEERING,95,1323
11,45,MANAGEMENT,ENGINEERING,94,1622
12,30,MID,ENGINEERING,119,1549
13,32,MID,SUPPORT,149,1607
14,40,SENIOR,SUPPORT,163,1773
15,58,SENIOR,ENGINEERING,99,1264
16,55,SENIOR,ENGINEERING,95,1508
17,34,SENIOR,ENGINEERING,109,1085
18,39,SENIOR,ENGINEERING,89,1050
19,55,SENIOR,ENGINEERING,102,1209
20,48,SENIOR,ENGINEERING,87,995
21,34,MANAGEMENT,ENGINEERING,99,1070
22,35,SENIOR,SALES,161,588
23,61,MANAGEMENT,SALES,138,600
24,25,JUNIOR,ENGINEERING,106,1582
25,43,MID,ENGINEERING,115,1562
26,63,SENIOR,SUPPORT,150,2550
27,25,JUNIOR,ENGINEERING,98,1468
28,46,SENIOR,SUPPORT,147,1660
29,27,MID,ENGINEERING,88,1447
30,43,SENIOR,SUPPORT,142,1919
31,30,MID,ENGINEERING,121,1311
32,30,MID,ENGINEERING,121,1565
33,43,MANAGEMENT,ENGINEERING,97,1486
34,28,JUNIOR,SALES,132,579
35,29,JUNIOR,ENGINEERING,97,1573
36,52,SENIOR,ENGINEERING,82,1333
37,64,SENIOR,SALES,130,602
38,51,MANAGEMENT,MARKETING,133,585
39,25,JUNIOR,ENGINEERING,83,1381
40,28,JUNIOR,SALES,148,524
41,28,JUNIOR,SALES,140,555
42,65,SENIOR,SUPPORT,160,2552
43,35,MID,MARKETING,153,580
44,35,MID,SUPPORT,161,2204
45,44,SENIOR,SUPPORT,123,2600
46,29,JUNIOR,ENGINEERING,98,1164
47,26,JUNIOR,ENGINEERING,85,1323
48,46,MANAGEMENT,MARKETING,148,636
49,32,MID,SALES,140,588
50,27,JUNIOR,SUPPORT,152,2283
51,50,SENIOR,ENGINEERING,107,1346
52,30,MANAGEMENT,ENGINEERING,103,1400
53,28,MID,SUPPORT,162,2032
54,26,MID,SUPPORT,158,2257
55,36,MID,ENGINEERING,95,1178
56,31,SENIOR,MARKETING,163,608
57,55,SENIOR,SUPPORT,138,2260
58,33,SENIOR,ENGINEERING,100,1426
59,28,JUNIOR,SALES,169,585
60,60,SENIOR,SALES,154,648
61,29,JUNIOR,ENGINEERING,79,1263
62,57,SENIOR,MARKETING,148,609
63,25,MID,SALES,145,604
64,30,MID,ENGINEERING,123,1143
65,34,SENIOR,ENGINEERING,106,1603
66,44,SENIOR,ENGINEERING,94,1248
67,62,SENIOR,ENGINEERING,112,1151
68,33,SENIOR,MANAGEMENT,823,309
69,27,JUNIOR,ENGINEERING,75,1572
70,42,MID,SALES,149,594
71,32,SENIOR,MARKETING,159,605
72,47,SENIOR,ENGINEERING,116,1257
73,43,MID,SUPPORT,140,2219
74,31,SENIOR,ENGINEERING,95,1270
75,26,JUNIOR,SUPPORT,150,2528
76,60,SENIOR,SALES,151,623
77,35,SENIOR,ENGINEERING,106,1520
78,27,JUNIOR,MARKETING,147,598
79,65,SENIOR,ENGINEERING,117,1011
